step,KE,PE,T_insta,P_insta
195,300.3513,-322.3874,94.4111,2.6715
196,299.9687,-322.103,94.2908,2.6743
197,299.7827,-322.015,94.2323,2.6746
198,299.7917,-322.1195,94.2352,2.6724
199,299.9893,-322.4073,94.2973,2.6679
200,300.3636,-322.864,94.415,2.6613
201,300.8977,-323.4701,94.5828,2.6527
202,301.5696,-324.2017,94.7941,2.6426
203,302.3537,-325.0314,95.0405,2.6312
204,303.2211,-325.929,95.3132,2.619
205,304.141,-326.8637,95.6023,2.6063
206,305.0823,-327.8045,95.8982,2.5936
207,306.0149,-328.7218,96.1914,2.5813
208,306.9098,-329.5881,96.4727,2.5697
209,307.741,-330.379,96.7339,2.5591
210,308.4859,-331.0735,96.9681,2.5498
211,309.1252,-331.6543,97.169,2.542
212,309.6437,-332.108,97.332,2.536
213,310.0299,-332.4252,97.4534,2.5317
214,310.2763,-332.6002,97.5309,2.5295
215,310.3791,-332.631,97.5632,2.5292
216,310.3379,-332.5189,97.5502,2.5309
217,310.1557,-332.2681,97.493,2.5346
218,309.8381,-331.8861,97.3931,2.5401
219,309.3938,-331.3824,97.2535,2.5473
220,308.8337,-330.7689,97.0774,2.5562
221,308.1703,-330.0591,96.8689,2.5664
222,307.4177,-329.2675,96.6323,2.5779
223,306.5909,-328.4092,96.3724,2.5904
224,305.7051,-327.4992,96.094,2.6038
225,304.7749,-326.5519,95.8016,2.6178
226,303.8141,-325.5802,95.4996,2.6323
227,302.8347,-324.595,95.1917,2.6472
228,301.8463,-323.6045,94.881,2.6622
229,300.856,-322.6145,94.5697,2.6775
230,299.8679,-321.6281,94.2592,2.6928
231,298.8842,-320.646,93.9499,2.7082
232,297.9048,-319.6677,93.6421,2.7237
233,296.9283,-318.6915,93.3351,2.7392
234,295.9533,-317.7165,93.0287,2.7548
235,294.9797,-316.7435,92.7226,2.7703
236,294.0097,-315.7768,92.4177,2.7859
237,293.0494,-314.8245,92.1158,2.8013
238,292.1096,-313.9001,91.8204,2.8163
239,291.2061,-313.0219,91.5364,2.8308
240,290.3596,-312.2126,91.2704,2.8444
241,289.5945,-311.4973,91.0298,2.8567
242,288.9359,-310.9008,90.8228,2.8675
243,288.4073,-310.4444,90.6567,2.8766
244,288.0271,-310.1425,90.5372,2.8838
245,287.8051,-309.9998,90.4674,2.8891
246,287.7404,-310.0092,90.447,2.8925
247,287.8198,-310.1517,90.472,2.8944
248,288.0181,-310.3964,90.5343,2.895
249,288.2997,-310.7031,90.6229,2.895
250,288.6207,-311.0256,90.7238,2.8948
251,288.9331,-311.3149,90.822,2.8951
252,289.1879,-311.5231,90.902,2.8965
253,289.3391,-311.6066,90.9496,2.8994
254,289.3464,-311.5293,90.9519,2.9044
255,289.1783,-311.2648,90.899,2.9118
256,288.814,-310.7981,90.7845,2.9215
257,288.2445,-310.1264,90.6055,2.9338
258,287.4733,-309.2594,90.3631,2.9484
259,286.516,-308.2183,90.0622,2.9651
260,285.3989,-307.034,89.711,2.9835
261,284.1572,-305.7454,89.3207,3.0031
262,282.8329,-304.3967,88.9044,3.0232
263,281.4715,-303.0342,88.4765,3.0433
264,280.1192,-301.7028,88.0514,3.0629
265,278.8192,-300.4436,87.6428,3.0813
266,277.6094,-299.2906,87.2625,3.0982
267,276.52,-298.2698,86.9201,3.1132
268,275.5725,-297.3981,86.6222,3.1263
269,274.7792,-296.6839,86.3729,3.1372
270,274.1448,-296.128,86.1735,3.1459
271,273.6668,-295.7255,86.0232,3.1525
272,273.338,-295.4672,85.9198,3.157
273,273.1477,-295.3415,85.86,3.1595
274,273.0838,-295.336,85.84,3.1603
275,273.134,-295.4389,85.8557,3.1595
276,273.287,-295.6395,85.9038,3.1571
277,273.5332,-295.9295,85.9812,3.1533
278,273.8652,-296.3026,86.0856,3.1482
279,274.278,-296.7546,86.2153,3.1418
280,274.7682,-297.2829,86.3694,3.1343
281,275.3337,-297.8855,86.5472,3.1255
282,275.9723,-298.56,86.7479,3.1158
283,276.6812,-299.3027,86.9707,3.105
284,277.4557,-300.1078,87.2142,3.0933
285,278.2886,-300.9668,87.476,3.0808
286,279.1702,-301.8682,87.7531,3.0677
287,280.0877,-302.7987,88.0415,3.0542
288,281.0268,-303.7429,88.3367,3.0405
289,281.9719,-304.6854,88.6338,3.0269
290,282.9076,-305.6112,88.9279,3.0134
291,283.8196,-306.5067,89.2146,3.0004
292,284.6956,-307.3609,89.4899,2.9878
293,285.5258,-308.1657,89.7509,2.9759
294,286.3037,-308.9162,89.9954,2.9647
295,287.0262,-309.6111,90.2225,2.9541
296,287.6937,-310.2523,90.4324,2.9443
297,288.3098,-310.8451,90.626,2.9352
